ID,fmc,lai,landcover,n,soil,443,490,560,665,705,740,783,842,865,945,1375,1610,2190
34,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.028049,0.03379,0.053498,0.055783,0.082693,0.16438,0.19831,0.2121,0.21834,0.23246,0.20913,0.22219,0.14036
35,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.025145,0.029579,0.047988,0.045133,0.072516,0.17202,0.21205,0.22504,0.23113,0.24428,0.21519,0.21441,0.12168
36,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.023397,0.026824,0.044627,0.037235,0.065737,0.18281,0.22882,0.24124,0.24725,0.25966,0.22506,0.21201,0.10849
37,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.032328,0.039827,0.061618,0.070331,0.097291,0.15754,0.18362,0.19854,0.20503,0.22047,0.20464,0.23602,0.16684
38,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.029095,0.035247,0.055517,0.059205,0.086325,0.16275,0.19418,0.20827,0.21456,0.22904,0.20809,0.22645,0.14721
39,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.026418,0.031368,0.050449,0.049403,0.076988,0.16946,0.20617,0.21953,0.22567,0.23928,0.21332,0.21942,0.1302
40,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.024765,0.028779,0.047281,0.04204,0.070651,0.17891,0.22079,0.2336,0.23966,0.25259,0.22185,0.21704,0.11799
41,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.033147,0.040964,0.063189,0.07298,0.10009,0.15658,0.18103,0.19618,0.20271,0.21842,0.20416,0.23923,0.17202
42,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.030247,0.036855,0.057729,0.062993,0.090292,0.16108,0.19007,0.20448,0.21084,0.2257,0.20707,0.23086,0.1546
43,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.02783,0.033355,0.053164,0.054157,0.081904,0.16685,0.20033,0.21408,0.22029,0.23439,0.2115,0.22463,0.13942
44,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.026301,0.030975,0.050245,0.047439,0.07611,0.17496,0.21281,0.22608,0.2322,0.24568,0.21873,0.22235,0.12838
45,20.83333333,0.60221019,forest,2,2_newsoil.txt,0.034041,0.042206,0.064893,0.075884,0.10312,0.15559,0.17846,0.19385,0.20042,0.21642,0.20368,0.24252,0.17755
46,20.83333333,0.60221019,forest,2,2_newsoil.txt,0.031509,0.038619,0.060138,0.067161,0.094603,0.15937,0.18599,0.20074,0.20717,0.22244,0.20608,0.23539,0.16251
47,20.83333333,0.60221019,forest,2,2_newsoil.txt,0.029386,0.035546,0.056138,0.059412,0.087272,0.16421,0.19453,0.20872,0.21501,0.22962,0.20973,0.23004,0.14934
48,20.83333333,0.60221019,forest,2,2_newsoil.txt,0.028013,0.03342,0.053528,0.053452,0.082127,0.17099,0.20492,0.21867,0.22488,0.23895,0.21569,0.22795,0.13964
49,27.13567839,1.42669978,forest,2,1_newsoil.txt,0.040315,0.049693,0.076993,0.087782,0.1216,0.20186,0.23883,0.25857,0.26728,0.28776,0.26032,0.29598,0.20626
50,27.13567839,1.42669978,forest,2,1_newsoil.txt,0.033465,0.040434,0.064091,0.067214,0.099384,0.20016,0.24475,0.26274,0.27099,0.28953,0.25248,0.26607,0.16589
51,27.13567839,1.42669978,forest,2,1_newsoil.txt,0.027694,0.032536,0.053204,0.049218,0.080358,0.2015,0.25357,0.27002,0.27787,0.29466,0.24836,0.24142,0.13077
52,27.13567839,1.42669978,forest,2,1_newsoil.txt,0.023909,0.027141,0.046021,0.035955,0.067205,0.2084,0.26773,0.283,0.2906,0.30599,0.25111,0.22645,0.1053
53,27.13567839,1.23237228,forest,2,1_newsoil.txt,0.041307,0.051016,0.078916,0.090623,0.12494,0.20272,0.23818,0.25828,0.26707,0.28797,0.26248,0.30218,0.21266
54,27.13567839,1.23237228,forest,2,1_newsoil.txt,0.034851,0.04229,0.066783,0.071234,0.10409,0.20111,0.24341,0.26191,0.27029,0.28942,0.25526,0.27473,0.17494
55,27.13567839,1.23237228,forest,2,1_newsoil.txt,0.029378,0.034804,0.056481,0.054187,0.086123,0.20218,0.25122,0.26829,0.2763,0.29383,0.25134,0.25194,0.14197
56,27.13567839,1.23237228,forest,2,1_newsoil.txt,0.025714,0.029597,0.049546,0.041449,0.073486,0.20822,0.26375,0.27971,0.28747,0.3037,0.25348,0.23774,0.1177
57,27.13567839,1.05526548,forest,2,1_newsoil.txt,0.042412,0.052492,0.081048,0.093807,0.12864,0.2036,0.23753,0.258,0.26689,0.28821,0.26469,0.30862,0.21965
58,27.13567839,1.05526548,forest,2,1_newsoil.txt,0.036405,0.044374,0.069785,0.075761,0.10931,0.20209,0.2421,0.26113,0.26963,0.28937,0.25813,0.28378,0.18488
59,27.13567839,1.05526548,forest,2,1_newsoil.txt,0.031283,0.03737,0.060164,0.059822,0.092575,0.20294,0.24892,0.26665,0.27482,0.29312,0.25446,0.26302,0.15434
